,priority,q_time,consult_time
372,2.0,7.400347076333219,20.051042215565303
375,1.0,7.613061548532187,14.941039465764788
373,1.0,12.238964498571931,19.334178238933873
377,2.0,0.31872765421303484,16.83576345472693
374,3.0,23.45077780409747,29.992659177679343
379,1.0,9.266276674324672,24.298323250640806
378,2.0,19.612599215482987,24.36749518429042
380,2.0,32.268084014942815,24.470436355236416
382,2.0,18.979524884474813,26.12616424020962
384,2.0,32.84100572658781,14.308494526107097
385,2.0,3.595410845065544,19.60623447573971
386,2.0,1.7571408173007512,27.09740656569784
387,2.0,13.23593715822426,22.98056516083261
388,2.0,23.26082794118338,22.684128555201823
376,3.0,140.9159956985086,19.495173496649386
390,2.0,6.918314960138105,12.702840433379151
381,3.0,123.57475223539359,19.749302308464394
